"Course Enrollments by Course
2016-17, Survey 3 - Preliminary
State Level",,
0200810,"IB COMPTR SCIENCE 2",33
0200820,"IB COMPTR SCIENCE 3",44
0200830,"IB MYP DESIGN TECH",342
0200890,"IB INFO TECH SOC 1",255
0200900,"IB INFO TECH SOC 2",98
0200910,"IB INFO TECH SOC 3",207
0300000,"M/J DANCE 1",8271
0300010,"M/J DANCE 2",3739
0300020,"M/J DANCE 3",2068
0300025,"M/J DANCE 3 CAR PLAN",290
0300030,"M/J DANCE 4",973
0300090,"M/J DANCE MIX MOBIL",306
0300100,"M/J INTRO DANCE TECH",1182
0300300,"WORLD DANCE",734
0300305,"INTRO TO DANCE",101
0300310,"DANCE TECNQS 1",7020
0300320,"DANCE TECHNQS 2",3163
0300330,"DANCE TECHNQS 3 HON",1476
0300334,"DANCE TECHNQS 4 HON",773
0300338,"DANCE MIX MOBIL",111
0300340,"BALLET 1",775
0300350,"BALLET 2",447
0300360,"BALLET 3",361
0300370,"BALLET 4 HON",247
0300380,"DANCE CHOR PERF 1",813
0300390,"DANCE CHOR PERF 2 H",284
0300400,"DANCE REPERT 1",1455
0300410,"DANCE REPERT 2",769
0300420,"DANCE REPERT 3 HON",604
0300430,"DANCE REPERT 4 HON",405
0300450,"DANCE HIST/AESTH 1",191
0300460,"DANCE HIST/AESTH 2 H",57
0300480,"DANCE KINE/SOMAT 1",393
0300600,"DANCE KINE/SOMAT 2",61
0300620,"DAN CAR PREP HON",92
0300650,"FL PRE-IB DANCE",39
0300655,"IB DANCE 1",52
0300660,"IB DANCE 2",41
0300670,"IB DANCE 3",28
0400000,"M/J THEATRE 1",16312
0400010,"M/J THEATRE 2",5163
0400020,"M/J THEATRE 3",2641
0400025,"M/J THEATRE 3 C/P",274
0400030,"M/J THEATRE 4",504
0400035,"M/J BASIC THEATRE",926
0400040,"M/J ACTING 1",1136
0400045,"M/J ACTING 2",463
0400050,"M/J ACTING 3",86
0400100,"M/J INTRO TECH THEA",236
0400110,"M/J TECH THEA DE&PR",994
0400300,"INTROD DRAMA",828
0400310,"THEATRE 1",22031
0400320,"THEATRE 2",5885
0400330,"THEATRE 3 HON",3022
0400340,"THEATRE 4 HON",1661
0400345,"PRE-AICE DRAMA IG",49
0400350,"THEA HIST LIT 1",275
0400360,"THEA HIST LIT 2 HON",560
0400370,"ACTING 1",5542
0400380,"ACTING 2",1892
0400390,"ACTING 3",1133
0400400,"ACTING 4 HON",850
0400405,"IB MYP DRAMA 1",47
0400406,"IB MYP DRAMA 2",24
0400407,"TECH THE D/P SCEN PR",504
0400408,"TECH THE D/P LI SOUN",112
0400409,"TECH THE D/P CMH",544
0400410,"TECH THEA DES&PROD 1",4411
0400420,"TECH THEA DES&PROD 2",1243
0400430,"TECH THEA DES&PROD 3",481
0400440,"TECH THEA DES&PROD4H",326
0400500,"THEA DIR & ST MAN 1",322
0400510,"THEA DIR & ST MAN 2H",160
0400515,"BUS THEA MGMT PROMO",88
0400540,"VOICE & DICTION",247
0400620,"THEATRE IMPROV",797
0400660,"THEA CIN & FILM PROD",3594
0400700,"MUSIC THEATRE 1",3237
0400710,"MUSIC THEATRE 2",1233
0400720,"MUSIC THEATRE 3",656
0400800,"FL PRE-IB THEATRE 1",86
0400805,"FL PRE-IB THEATRE 2",51
0400810,"IB THEATRE 1",190
0400820,"IB THEATRE 2",110
0400830,"IB THEATRE 3",114
0500000,"M/J PERS CAR SCH 1",13979
0500002,"M/J PERS CAR SCH C/P",3051
0500010,"M/J PERS CAR SCH 2",3747
0500012,"M/J PER/CAR/SCH2 C/P",1360
0500020,"M/J PERS CAR SCH 3",3796
0500022,"M/J PER/CAR/SCH3 C/P",1075
0500300,"EXEC INTERN 1",12325
0500310,"EXEC INTERN 2",3107
0500320,"EXEC INTERN 3",1454
0500330,"EXEC INTERN 4",1524
0500370,"VOL PUB SERV",2129
0500500,"PERS,CAR,SCH DEV 1",23193
0500510,"PERS,CAR,SCH DEV 2",8529
0500520,"PERS,CAR,SCH DEV 3",2770
0500530,"PERS,CAR,SCH DEV 4",1609
0502390,"PRE-AICE ACCTING IG",25
0502400,"AICE ACCOUNTING 1 AS",24
0700030,"M/J IB MYP INT WLNG1",1224
0700040,"M/J IB MYP INT WLNG2",356
0700300,"HAITIAN CREOLE 1",100
0700310,"HAITIAN CREOLE 2",36
0701000,"M/J FRENCH BEG",2786
0701005,"M/J EXPL FRENCH BEG",39
0701010,"M/J FRENCH INTERM",1079
0701020,"M/J FRENCH ADV",166
0701050,"M/J IB MYP FRENCH 1",81
0701060,"M/J IB MYP FRENCH 2",27
0701320,"FRENCH 1",22559
0701330,"FRENCH 2",15663
0701340,"FRENCH 3 HON",3596
0701350,"FRENCH 4 HON",746
0701360,"FRENCH 5 HON",59
0701370,"FRENCH 6 HON",24
0701380,"AP FRENCH LANG & CU",955
0701391,"AICE FRENCH AL",83
0701392,"AICE FRENCH LIT AS",6
0701393,"AICE FRENCH LANG AS",84
0701394,"PRE-AICE FRENCH 1 IG",443
0701396,"PRE-AICE FRENCH 2 IG",426
0701398,"PRE-AICE FRENCH 3 IG",64
0701800,"FL PRE-IB FRENCH 1",813
0701810,"FL PRE-IB FRENCH 2",863
0701820,"FL PRE-IB FRENCH 3",203
0701825,"IB FRENCH 3",162
0701830,"IB FRENCH 4",604
0701840,"IB FRENCH 5",797
0701865,"IB FRENCH 6",59
0701870,"IB MYP FRENCH 1",429
0701880,"IB MYP FRENCH 2",352
0701890,"IB MYP FRENCH 3",60
0701891,"IB FRENCH AB INITIO1",3
0701892,"IB FRENCH AB INITIO2",2
0702000,"M/J GERMAN BEG",26
0702010,"M/J GERMAN INTERM",26
0702020,"M/J GERMAN ADV",27
0702320,"GERMAN 1",1286
0702330,"GERMAN 2",1116
0702340,"GERMAN 3 HON",270
0702350,"GERMAN 4 HON",69
0702380,"AP GERMAN LANG & CU",83
0702390,"PRE-AICE GERMAN 1 IG",18
0702392,"PRE-AICE GERMAN 2 IG",18
0702800,"FL PRE-IB GERMAN 1",191
0702810,"FL PRE-IB GERMAN 2",130
0702820,"FL PRE-IB GERMAN 3",6
0702825,"IB GERMAN 3",46
0702830,"IB GERMAN 4",74
0702840,"IB GERMAN 5",78
0702865,"IB GERMAN 6",2
0703320,"GREEK 1",455
0703330,"GREEK 2",302
0703340,"GREEK 3 HON",65
0703350,"GREEK 4 HON",30
0703360,"GREEK 5 HON",18
0704000,"M/J AMER SIGN, BEG",115
0704010,"M/J AMER SIGN, INTER",1
0704300,"HEBREW 1",109
0704310,"HEBREW 2",67
0704320,"HEBREW 3 HON",28
0704330,"HEBREW 4 HON",21
0705000,"M/J ITALIAN BEG",255
0705010,"M/J ITALIAN INTERM",58
0705020,"M/J ITALIAN ADV",18
0705320,"ITALIAN 1",2499
0705330,"ITALIAN 2",1574
0705340,"ITALIAN 3 HON",478
0705350,"ITALIAN 4 HON",76
0705360,"ITALIAN 5 HON",24
0705370,"ITALIAN 6 HON",2
0705380,"AP ITALIAN LANG & CU",218
0705390,"FL PRE-IB ITALIAN 1",12
0705391,"FL PRE-IB ITALIAN 2",27
0705392,"FL PRE-IB ITALIAN 3",9
0705393,"IB ITALIAN 4",9
0705394,"IB ITALIAN 5",4
0705395,"IB ITALIAN 3",19
0705396,"IB ITALIAN 6",2
0706000,"M/J LATIN BEG",217
0706010,"M/J LATIN INTERM",135
0706020,"M/J LATIN ADV",39
0706300,"LATIN 1",3938
0706310,"LATIN 2",2957
0706320,"LATIN 3 HON",674
0706330,"LATIN 4 HON",181
0706340,"LATIN 5 HON",12
0706375,"AP LATIN",193
0706380,"AICE LATIN AS",3
0706382,"PRE-AICE LATIN 1 IG",70
0706384,"PRE-AICE LATIN 2 IG",75
0706800,"FL PRE-IB LATIN 1",211
0706810,"FL PRE-IB LATIN 2",135
0706825,"IB LATIN 3",51
0706830,"IB LATIN 4",92
0706840,"IB LATIN 5",99
0706845,"IB LATIN 6",12
0707000,"M/J CHIN, BEG",560
0707010,"M/J CHIN, INTERM",289
0707020,"M/J CHIN, ADV",58
0707300,"RUSSIAN 1",78
0707310,"RUSSIAN 2",88
0707320,"RUSSIAN 3 HON",14
0707330,"RUSSIAN 4 HON",5
0707835,"IB RUSSIAN 5",1
0708000,"M/J SPANISH BEG",27935
0708010,"M/J SPANISH INTERM",6809
0708020,"M/J SPANISH ADV",1791
0708100,"M/J EXPLOR SPAN BEG",2945
0708105,"M/J EXPLOR SPAN INT",1045
0708340,"SPANISH 1",119428
0708350,"SPANISH 2",96834
0708360,"SPANISH 3 HON",20749
0708370,"SPANISH 4 HON",4512
0708380,"SPANISH 5 HON",327
0708390,"SPANISH 6 HON",80
0708400,"AP SPANISH LANG & CU",13086
0708410,"AP SPANISH LIT & CU",2660
0708530,"AICE SPANISH AL",553
0708532,"PRE-AICE SPAN 1 IG",1903
0708534,"PRE-AICE SPAN 2 IG",2829
0708536,"PRE-AICE SPAN 3 IG",859
0708538,"AICE SPAN LANG AS",1569
0708540,"AICE SPANISH LIT AS",97
0708800,"FL PRE-IB SPANISH 1",4269
0708810,"FL PRE-IB SPANISH 2",4000
0708820,"FL PRE-IB SPANISH 3",1444
0708825,"IB SPANISH 3",1120
0708830,"IB SPANISH 4",2760
0708840,"IB SPANISH 5",3114
0708865,"IB SPANISH 6",241
0708870,"IB MYP SPANISH 1",1413
0708880,"IB MYP SPANISH 2",1227
0708890,"IB MYP SPANISH 3",356
0708891,"IB SPAN AB INITIO 1",50
0708892,"IB SPAN AB INITIO 2",49
0708895,"IB SPAN LANG&LIT 1",37
0708896,"IB SPAN LANG&LIT 2",10
0708897,"IB SPAN LANG&LIT 3",21
0709000,"M/J SPANISH SPEAKS B",1740
0709010,"M/J SPANISH SPEAKS I",768
0709020,"M/J SPANISH SPEAKS A",546
0709300,"SPANISH SPEAKS 1",11260
0709310,"SPANISH SPEAKS 2",8606
0709320,"SPANISH SPEAKS 3 HON",2485
0709330,"SPANISH SPEAKS 4 HON",212
0709340,"SPANISH SPEAKS 5 HON",54
0709360,"AICE SPAN 1STLANG AS",21
0709370,"PRE-AICE SPAN1L 1 IG",204
0709380,"PRE-AICE SPAN1L 2 IG",143
0709390,"PRE-AICE SPAN1L 3 IG",34
0709800,"M/J IB MYP SPAN 1",376
0709805,"M/J IB MYP SPAN 1ADV",829
0709810,"M/J IB MYP SPAN 2",23
0709815,"M/J IB MYP SPAN 2ADV",531
0709825,"M/J IB MYP SPAN 3ADV",212
0710000,"M/J WRLDLNG INTL ST1",1525
0710010,"M/J WRLDLNG INTL ST2",772
0710020,"M/J WRLDLNG INTL ST3",399
0710300,"ARABIC 1",139
0710310,"ARABIC 2",53
0711300,"CHINESE 1",2036
0711310,"CHINESE 2",1116
0711320,"CHINESE 3 HON",318
0711330,"CHINESE 4 HON",97
0711335,"CHINESE 5 HON",8
0711340,"AP CHINESE LANG & CU",44
0711350,"PRE-AICE CHINESE 1",47
0711352,"PRE-AICE CHINESE 2",18
0711354,"PRE-AICE CHINESE 3",3
0711800,"FL PRE-IB MAND CHIN1",84
0711810,"FL PRE-IB MAND CHIN2",93
0711812,"FL PRE-IB MAND CHIN3",14
0711815,"IB MAND CHIN 3",10
0711820,"IB MAND CHIN 4",14
0711830,"IB MAND CHIN 5",20
0711835,"IB MAND CHIN 6",2
0711836,"IB MANDCHIN AB INIT1",4
0711837,"IB MANDCHIN AB INIT2",2
0712000,"M/J TURK, BEG",234
0712010,"M/J TURK, INTERM",15
0712020,"M/J TURK, ADV",26
0712300,"JAPANESE 1",344
0712310,"JAPANESE 2",218
0712320,"JAPANESE 3 HON",82
0712330,"JAPANESE 4 HON",7
0712340,"AP JAPAN LANG & CU",22
0712810,"FL PRE-IB JAPANESE 1",12
0712820,"FL PRE-IB JAPANESE 2",7
0712830,"IB JAPANESE 3",3
0712840,"IB JAPANESE 4",7
0713300,"PORTUGUESE 1",369
0713310,"PORTUGUESE 2",217
0713320,"PORTUGUESE 3 HON",70
0713330,"PORTUGUESE 4 HON",13
0713340,"PORTUGUESE SPEAK 1",67
0713360,"PRE-AICE PORTUG 1 IG",11
0713362,"PRE-AICE PORTUG 2 IG",7
0713366,"AICE PORTUG LANG AS",15
0713370,"AICE PORTUGUESE AL",9
0713840,"IB PORTUGUESE 4",2
0713860,"IB PORTUGUESE 5",9
0714300,"WRLDLNG INTL STUD1",157
0714310,"WRLDLNG INTL STUD2",137
0714320,"WRLDLNG INTL STUD3",202
0714330,"WRLDLNG INTL STUD4",227
0715305,"LANG/LIT INTSTUDIES1",101
0715315,"LANG/LIT INTSTUDIES2",120
0715325,LANG/LITINTSTUDIES3H,42
0715335,LANG/LITINTSTUDIES4H,97
0715345,LANG/LITINTSTUDIES5H,38
0715355,LANG/LITINTSTUDIES6H,77
0715365,LANG/LITINTSTUDIES7H,35
0716300,"TURKISH 1",67
0716310,"TURKISH 2",82
0716320,"TURKISH 3 HONORS",36
0717300,"AMER SIGN LANG 1",9802
0717310,"AMER SIGN LANG 2",5903
0717312,"AMER SIGN LANG 3 HON",1181
0717314,"AMER SIGN LANG 4 HON",376
0717316,"AMER SIGN LANG 5 HON",4
0719300,"CREEK 1",32
0719310,"CREEK 2",18
0791920,"WORLD LANG WAIVER",6
0800000,"M/J HEALTH 1",1853
0800010,"M/J HEALTH 2",1046
0800020,"M/J HEALTH 3",229
0800025,"M/J HEALTH 3 & CAR P",144
0800030,"M/J HEALTH 4",8494
0800040,"M/J HEALTH 5",6823
0800050,"M/J HEALTH 6",7681
0800300,"HEALTH1-LIF MGMT SKL",2844
0800310,"HEALTH 2-PER HEALTH",698
0800320,"FIRST AID SAFETY",1798
0800330,"PERSON SOC FAM RLSH",362
0800350,"ADOL HEALTH PROBLS",321
0800360,"HEALTH EXPLOS HON",322
0800370,"PARENTING 1",374
0800380,"PARENTING 2",171
0800390,"HEALTH EXPER PARENTS",50
0900300,"HUM SURV",258
0900305,"HUM 1 HON",22
0900310,"HUM 1 HON",888
0900315,"HUM 2 HON",234
0900320,"HUM 2 HON",374
0900500,"AICE CL STDS 1 AS",102
0900520,"AICE DIVINITY 1 AS",31
0900800,"IB THEORY/KNWLG 1",5070
0900810,"IB THEORY/KNWLG 2",2179
1000000,"M/J INTENS LANG ARTS",16913
1000010,"M/J INTENS READ (MC)",172911
1000020,"M/J INT READ & CAR P",1963
1000400,"INTENS LANG ARTS",18054
1000410,"INTENS READ",168809
1000420,"INTENS WRIT",162
1001010,"M/J LANG ARTS 1",118895
1001020,"M/J LANG ARTS 1, ADV",73505
1001025,"M/J ENG 1 CAMB SEC 1",2925
1001030,"M/J IB MYP LANG/LIT1",3361
1001040,"M/J LANG ARTS 2",109899
1001050,"M/J LANG ARTS 2, ADV",81713
1001055,"M/J ENG 2 CAMB SEC 1",3330
1001060,"M/J IB MYP LANG/LIT2",3474
1001070,"M/J LANG ARTS 3",107431
1001080,"M/J LANG ARTS 3, ADV",79889
1001085,"M/J ENG 3 CAMB SEC 1",3034
1001090,"M/J IB MYP LANG/LIT3",3057
1001310,"ENG 1",114719
1001315,"ENG 1 CR",1837
1001320,"ENG HON 1",79180
1001340,"ENG 2",109284
1001345,"ENG 2 CR",1559
1001350,"ENG HON 2",79280
1001370,"ENG 3",100113
1001375,"ENG 3 CR",907
1001380,"ENG HON 3",46871
1001400,"ENG 4",44585
1001402,"ENG 4 CR",259
1001405,"ENG 4: FL COLL PREP",40805
1001410,"ENG HON 4",39963
1001420,"AP ENG COMPO",30703
1001425,"AP ENG COMPO INNOV",1101
1001430,"AP ENG LIT COMPO",24728
1001460,"APPL COMMS 1",804
1001470,"APPL COMMS 2",255
1001480,"COMMS MTH HON",1164
1001550,"AICE ENG LANG AS",8098
1001551,"AICE ENG LANG 2 AL",1396
1001555,"AICE ENG LANG/LIT AS",95
1001560,"PRE-AICE ENG LANG IG",4819
1001800,"FL PRE-IB ENG 1",5535
1001810,"FL PRE-IB ENG 2",4246
1001820,"IB ENGLISH LIT 3",2394
1001830,"IB ENGLISH LIT 4",4941
1001840,"IB MYP ENG 1",1654
1001845,"IB MYP ENG 2",909
1001880,"IB ENG AB INITIO 1",42
1001885,"IB ENG AB INITIO 2",26
1002000,"M/J LANG ARTS 1 ESOL",7150
1002010,"M/J LANG ARTS 2 ESOL",6492
1002020,"M/J LANG ARTS 3 ESOL",6629
1002180,"M/J DE LANG ART ESOL",4777
1002181,"M/J DE LA ESOL-READ",15352
1002300,"ENG 1 THROUGH ESOL",8529
1002305,"ENG 1 THRU ESOL CR",1
1002310,"ENG 2 THROUGH ESOL",8159
1002320,"ENG 3 THROUGH ESOL",6535
1002380,"DEV LANG ARTS ESOL",5871
1002381,"DEV LANG ARTS ESOL-R",17320
1002520,"ENG 4 THROUGH ESOL",3631
1004300,"SEMANTICS-LOGIC HON",4361
1005300,"WORLD LIT",217
1005310,"AMER LIT",95
1005311,"ANCIENT LITERATURE",34
1005330,"CONTEMP LIT",304
1005340,"CL LIT",144
1005350,"LIT & THE ARTS 1 HON",331
1005360,"LIT & THE ARTS 2 HON",1147
1005365,"LIT IN MEDIA HON",1145
1005370,"AICE ENG LIT 1 AS",3552
1005375,"AICE ENG LIT 2 AL",723
1005380,"PRE-AICE ENG LIT IG",1586
1005850,"IB ENG LANG & LIT 1",205
1005855,"IB ENG LANG & LIT 2",139
1006000,"M/J JOURN 1",7470
1006010,"M/J JOURN 2",1326
1006020,"M/J JOURN 3",434
1006300,"JOURN 1",16038
1006310,"JOURN 2",4261
1006320,"JOURN 3",1847
1006330,"JOURN 4",1136
1006331,"JOURN 5 HON",1303
1006332,"JOURN 6 HON",722
1006333,"JOURN 7 HON",276
1006334,"JOURN 8 HON",201
1006375,"SOCIAL MEDIA 1",2517
1007000,"M/J SPEECH-DEBATE 1",2707
1007010,"M/J SPEECH-DEBATE 2",820
1007020,"M/J SPEECH-DEBATE 3",414
1007025,"M/J SPEECH/DEBATE",188
1007300,"SPEECH 1",7084
1007305,"SPEECH 1",153
1007310,"SPEECH 2",532
1007315,"SPEECH 2",215
1007325,"IB MYP SPEECH",70
1007330,"DEBATE 1",8697
1007340,"DEBATE 2",1485
1007350,"DEBATE 3 HON",995
1007360,"DEBATE 4 HON",379
1007370,"DEBATE 5 HON",116
1007380,"DEBATE 6 HON",38
1007390,"DEBATE 7 HON",1
1008010,"M/J READ 1",25889
1008020,"M/J READ 1 ADV",15605
1008040,"M/J READ 2",13131
1008050,"M/J READ 2 ADV",6001
1008070,"M/J READ 3",11287
1008080,"M/J READ 3 ADV",4255
1008300,"READ 1",7474
1008310,"READ 2",9367
1008320,"READ HON",1249
1008330,"READ 3",6467
1008350,"READ COLL. SUCCESS",11182
1009000,"M/J CREATIVE WRIT 1",5552
1009010,"M/J CREATIVE WRIT 2",1655
1009020,"M/J CREATIVE WRIT 3",1375
1009025,"M/J CREATIVE WRITING",460
1009030,"M/J WRITING 1",1459
1009040,"M/J WRITING 2",781
1009050,"M/J WRITING 3",371
1009300,"WRIT 1",1382
1009310,"WRIT 2",2401
1009320,"CREATIVE WRIT 1",2241
1009330,"CREATIVE WRIT 2",4936
1009331,"CREATIVE WRIT 3 HON",1048
1009332,"CREATIVE WRIT 4 HON",423
1009333,"CREATIVE WRIT 5 HON",75
1009350,"PLAY WRIT",234
1009360,"AICE GEN PAPER AS",16197
1009365,"AICE GEN PAPER 2 AS",555
1009370,"WRTNG COLL. SUCCESS",229
1010360,"BRAILLE READ WRIT",1
1020810,"AMER LIT HON",350
1020820,"BRIT LIT HON",36
1020830,"CLASS LIT HON",39
1020840,"CONTEMP LIT HON",164
1020850,"WORLD LIT HON",459
1020860,"GREAT BOOKS HON",788
1100000,"M/J LIB SKLS/IL (MC)",9800
1100220,"M/J LIBR/MEDIA TRAN",71
1100460,"AICE MEDIASTUDIES AS",1111
1100470,"AICE MEDIA STUDIES A",46
1200310,"ALG 1",105245
1200315,"ALG 1 CR",1984
1200320,"ALG 1 HON",83338
1200330,"ALG 2",64531
1200335,"ALG 2 CR",439
1200340,"ALG 2 HON",61936
1200370,"ALG 1-A",24441
1200375,"ALG 1-A CR",124
1200380,"ALG 1-B",30700
1200385,"ALG 1-B CR",125
1200390,"IB MYP ALG 1",1542
1200395,"IB MYP ALG 2",1219
1200400,"INTENS MATH",28391
1200410,"Math Coll. Success",1706
1200700,"Math Coll. Readiness",83138
1201300,"MATH ANALYSIS HON",7571
1201315,"ANALYSIS OF FUNC HON",3081
1202300,"CALCULUS HON",3109
1202310,"AP CALCULUS AB",15052
1202320,"AP CALCULUS BC",4230
1202340,"PRE-CALCULUS HON",43916
1202352,"AICE MATH 1 AS",1699
1202354,"AICE MATH&MECH 1 AS",1
1202362,"AICE MA&PR&ST 1 AS",352
1202364,"AICE MA&PR&ST 2 AL",189
1202366,"AICE MA&ME&PR&ST2 AL",6
1202370,"AICE FURTHERMATH 1AL",15
1202371,"PRE-AICE ADD MTH3 IG",295
1202375,"IB PRE-CALCULUS",2591
1202380,"IB MYP PRE-CALCULUS",202
1202810,"IB CALCULUS/DESC STA",2058
1202820,"IB FURTHER MATH 1",10
1202830,"IB ADV CALCULUS",326
1204000,"M/J INTENS MATH (MC)",60659
1205010,"M/J GRADE 6 MATH",122986
1205020,"M/J GRADE 6 MATH ADV",72183
1205030,"M/J MATH 1 CAMBSEC 1",2605
1205040,"M/J GRADE 7 MATH",120725
1205050,"M/J GRADE 7 MATH ADV",67947
1205055,"M/J MATH 2 CAMBSEC 1",1832
1205060,"M/J MATH 3 CAMBSEC 1",666
1205070,"M/J GRADE 8 PRE-ALG",128770
1205090,"M/J IB MYP MATH 1",2406
1205100,"M/J IB MYP PRE-ALGEB",1157
1206300,"INF GEO",5312
1206310,GEO,122984
1206315,"GEO CR",1295
1206320,"GEO HON",69921
1206810,"IB MYP GEOM",1111
1207300,"LIB ARTS MATH 1",59500
1207310,"LIB ARTS MATH 2",35464
1209800,"IB MATH STUDIES",2264
1209810,"PRE-AICE MATH 1 IG",1596
1209820,"PRE-AICE MATH 2 IG",3015
1209825,"PRE-AICE MATH 3 IG",2709
1209830,"IB MATH HL 1",154
1210300,"PROB, STAT W/APPLS H",16821
1210310,"IB STAT/INT DIFF CAL",2115
1210320,"AP STAT",12944
1210323,"IB STATS & PROB",20
1210325,"IB SETS, RELAT, GRPS",13
1210330,"AICE MATH STAT AS",26
1211300,"TRIG HON",5822
1298310,"ADV TOPICS IN MATH",31671
1300000,"M/J MUS THEORY 1",2495
1300010,"M/J MUS THEORY 2",166
1300025,"M/J BASIC MUS THEORY",242
1300030,"M/J UNDERSTAND MUSIC",785
1300080,"M/J EXPL MUS PERF",1264
1300300,"MUS THEORY 1",2987
1300310,"MUS THEORY 2 HON",678
1300330,"AP MUS THEORY",2108
1300340,"MUSIC WORLD",7495
1300350,"INTRO TO MUSIC PERF",25
1300395,"AICE MUSIC 1 AS",81
1300397,"AICE MUSIC 3 AL",9
1300800,"FL PRE-IB MUSIC 1",138
1300810,"FL PRE-IB MUSIC 2",59
1300816,"IB MUSIC 1",198
1300818,"IB MUSIC 2",161
